epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,242.917,0.85397,1.76152,1.08264,0.74173,0.65004,0.75026,0.58988,0.7741,1.30891,0.99277,0.0673283,3.27044e-05,3.27044e-05
2,478.834,0.66361,0.91767,0.94323,0.92317,0.81443,0.87524,0.74916,0.54743,0.72012,0.89032,0.0340217,5.94346e-05,5.94346e-05
3,707.38,0.592,0.74188,0.91306,0.9079,0.84337,0.89838,0.80993,0.48074,0.70643,0.85124,0.00070843,7.94988e-05,7.94988e-05
4,947.032,0.53595,0.5852,0.88704,0.9244,0.83826,0.90333,0.79957,0.47255,0.67046,0.84457,7.0003e-05,7.0003e-05,7.0003e-05
5,1183.68,0.48329,0.51384,0.85675,0.9892,0.86274,0.91969,0.83867,0.43169,0.49784,0.82526,6.0004e-05,6.0004e-05,6.0004e-05
6,1417.85,0.45802,0.45073,0.84485,0.98681,0.87437,0.9235,0.83519,0.41607,0.47683,0.82876,5.0005e-05,5.0005e-05,5.0005e-05
7,1661.66,0.44508,0.41403,0.83826,0.9828,0.88387,0.92456,0.84164,0.40443,0.45147,0.82559,4.0006e-05,4.0006e-05,4.0006e-05
8,1898.24,0.4233,0.38291,0.84031,0.98185,0.90474,0.92927,0.85829,0.39172,0.42031,0.81999,3.0007e-05,3.0007e-05,3.0007e-05
9,2040.72,0.39884,0.36229,0.83473,0.99047,0.88842,0.93274,0.86374,0.36831,0.39632,0.814,2.0008e-05,2.0008e-05,2.0008e-05
10,2210.46,0.3852,0.34337,0.8267,0.98328,0.90094,0.93455,0.86359,0.36702,0.39091,0.81422,1.0009e-05,1.0009e-05,1.0009e-05
