epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.092,0.99902,2.20146,1.10435,0.78497,0.37185,0.53722,0.39075,1.04061,2.56324,1.21978,0.0676226,0.000327044,0.000327044
2,580.115,1.17545,2.11976,1.16133,0.54146,0.50516,0.50751,0.3201,1.25512,3.34856,1.21615,0.0345567,0.000594406,0.000594406
3,831.302,1.21685,1.67233,1.1595,0.75129,0.61215,0.69171,0.51759,0.95402,1.50579,1.0143,0.0014241,0.000795167,0.000795167
4,1079.58,1.00147,1.29348,1.06392,0.73731,0.74894,0.79819,0.59979,0.88107,1.33288,1.01116,0.0007003,0.0007003,0.0007003
5,1301.24,0.9037,1.00594,1.02163,0.82543,0.78707,0.84602,0.664,0.8535,0.97962,0.99741,0.0006004,0.0006004,0.0006004
6,1549.11,0.78123,0.80551,0.97792,0.91774,0.85051,0.89129,0.75015,0.66636,0.71175,0.93024,0.0005005,0.0005005,0.0005005
7,1794.07,0.6947,0.67015,0.94055,0.96793,0.82337,0.90804,0.75256,0.66065,0.70139,0.9445,0.0004006,0.0004006,0.0004006
8,2031.35,0.60897,0.58411,0.91017,0.97649,0.82444,0.90092,0.80219,0.52685,0.62255,0.88321,0.0003007,0.0003007,0.0003007
9,2288.8,0.53811,0.5023,0.87861,0.95973,0.88569,0.92118,0.82645,0.50398,0.5322,0.86155,0.0002008,0.0002008,0.0002008
10,2593.26,0.48887,0.45118,0.85588,0.9792,0.87438,0.93032,0.84653,0.45528,0.47439,0.84604,0.0001009,0.0001009,0.0001009
